id,name,officialAllergenStatus,sourceFamily,parserProfile,totalItemCount,officialItemCount,officialCoverageRatio,directAverageAllergenCount,crossContactAverageAllergenCount,directItemWithAnyCount,directItemWithAnyRatio,crossContactItemWithAnyCount,crossContactItemWithAnyRatio,officialEvidenceBucket,officialFullMatrixOrApiCount,officialIngredientDisclosureCount,officialProductSectionCount,officialGlobalCrossContactNoteCount,suspiciousOfficialParserFragmentCount,dominantDirectAllergenSet,dominantDirectAllergenSetCount,dominantDirectAllergenSetRatio,dominantCrossContactSet,dominantCrossContactSetCount,dominantCrossContactSetRatio,suspiciousRowCount,classifications,remediationBucket,reviewNote,sourceUrls,evidenceSnippets
the-inn-at-little-washington-va,The Inn at Little Washington,not-found,generic-website,generic-website,0,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.theinnatlittlewashington.com/dine | https://www.theinnatlittlewashington.com/michelin-starred-dining-room | https://www.theinnatlittlewashington.com/frequently-asked-questions,
gemini-dc,Gemini,extracted,generic-website,generic-website,97,70,0.722,2.629,0.771,68,0.971,28,0.4,official-disclosure-only,0,70,0,0,0,egg | gluten | milk,28,0.4,,42,0.6,0,,none,,"https://www.happygeminidc.com/ | https://www.happygeminidc.com/menu | https://www.happygeminidc.com/carryout | https://www.happygeminidc.com/app/store/api/v28/editor/users/131245162/sites/185588251224965350/products?page=1&per_page=200&include=images,media_files,discounts",One single crispy artichoke — AKA carciofi alla guidia — with a wedge of lemon! A Roman classic. | Hand-cut and triple-cooked. Seasoned with caper-wild oregano salt and served with Greek yogurt on the side for dipping. | ★ Spinach Gnudi — Inside Only ★ | A pint of freshly-spun ✨ yuzu ✨ frozen labne. Contains dairy and egg. | A half-pint of freshly-spun ✨ yuzu ✨ frozen labne. Contains dairy and egg.
replacement-dogon-by-kwame-onwuachi-washington-dc,Dōgon by Kwame Onwuachi,not-found,generic-website,generic-website,19,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.salamanderdc.com/dining/dogon/,"Cho Cho, Thumbelina Carrot, Rice & Peas | Jerk-Marinated, Caramelized Onion, Rice & Peas | Berbere-Roasted, Jollof Rice, Herbs | Coconut Mussel Curry, Callaloo, Rice & Peas | Black Garlic, Reciato, Allium Crumble"
tsehay-ethiopian-dc,Tsehay Ethiopian,not-found,third-party-menu,third-party-menu,28,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.tsehaydc.com/ | https://www.tsehaydc.com/menu | https://www.ubereats.com/store/tsehay-ethiopian-restaurant-%26-bar/Ph68KXv7UnisA-PwJ9L7Iw | https://www.grubhub.com/restaurant/tsehay-ethiopian-restaurant-and-bar-2429-18th-st-nw-washington/8669784 | https://www.tsehaydc.com/menus,"Any Vegan Item | Awaze | Ayeb | Two thinly sliced beef short ribs sauteed with traditional Ethiopian spices and served with a trio of hot sauces. | Fresh cubes of beef sautéed with shallots, tomatoes, rosemary and seasoned butter topped with julienne cut jalapeños served with mixed green salad."
arrels-dc,Arrels,not-found,website-menu-pdfs,website-menu-pdfs,5,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.arrels-dc.com/ | https://arlohotels.com/washingtondc/eat-and-drink/ | https://www.ramw.org/sites/default/files/restaurant-week/menus/Arrels%20-%20Restaurant%20Week%20Dinner.pdf | https://www.arrels-dc.com/menu | https://www.arrels-dc.com/menus | data/fixtures/arrels-dc-reviewed-ramw-menu.json,"Tuna, green olive sauce, salpicon, chicharrones. | Goat milk cremeux, olive oil ice cream, lavash, olive oil. | Iberico presa, pork jus, beet and cabbage puree, beet chip, grilled radish and pickled pear salad. | Squid ink fumet, piquillo pipperrade, fried squid, cuttlefish, saffron aioli. | Shrimp with guindilla gel."
sushi-taro-dc,Sushi Taro,extracted,manual-review,accommodation-policy-shell,56,1,0.018,0,0,0,0,0,0,official-disclosure-only,0,0,1,0,0,,0,0,,0,0,0,low-official-coverage:official-disclosure-only,low-official-coverage:official-disclosure-only,Only item-level official disclosure text was found for a small subset of items; preserve those rows but do not treat this as a complete official matrix.,https://www.sushitaro.com/location/omakase-counter/,AGEDASHI TOFU | starch fried tofu w/ dashi sauce / bonito flakes | kanpachi 1pc | cooked sea eel / sweet / soft tender 1pc | vegetarian
karizma-modern-indian-dc,Karizma Modern Indian,not-found,generic-website,generic-website,49,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://karizmadc.com/ | https://karizmadc.com/menu/ | https://karizmadc.com/food-menu/ | https://karizmadc.com/takeout/ | https://karizmadc.com/dessert-menu/ | https://karizmadc.com/special-menu/ | https://karizmadc.com/valentines-day-menu/ | https://order.toasttab.com/online/karma-modern-indian-dc-611-i-st-nw,crisp red snapper | greek yogurt tartar | Coffee | Char-grilled chicken | fenugreek | hickory & clove smoke | Chef Ajay's Butter Chicken
balos-estiatorio-dc,Balos Estiatorio,not-found,generic-website,generic-website,108,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.balosrestaurants.com/menus/ | https://www.balosrestaurants.com/ | https://media-cdn.getbento.com/accounts/8225d4e7d8aeb9598946239b78febb58/media/ar2PaqegTYeH8a98oyFI_Balos%20Mothers%20Day%20Brunch%202026%20Page%202.pdf | https://media-cdn.getbento.com/accounts/8225d4e7d8aeb9598946239b78febb58/media/XffWH6PqTy6uGlwTafTM_Balos%20Sunset%20Menu%202025%20copy.pdf | https://media-cdn.getbento.com/accounts/8225d4e7d8aeb9598946239b78febb58/media/skTVgQzQHC0RWhAlWJI8_Brunch%20Menu%20Balos%2011.pdf | https://media-cdn.getbento.com/accounts/8225d4e7d8aeb9598946239b78febb58/media/bpnJTmmCTFqMfNBpZtqa_Balos%20Menu%2011.pdf | https://media-cdn.getbento.com/accounts/8225d4e7d8aeb9598946239b78febb58/media/0DsxSPhKQCanvDDB8g6f_Balos%20Menu%2011.pdf | https://www.balosrestaurants.com/location/balos-restaurants/,None | Loukaniko | single or triple scoop | Drip Espresso 7 Double Espresso Cappuccino 8 | Drip Espresso 8 Double Espresso Cappuccino 9
queens-english-dc,Queen's English,extracted,toast,toast-menu,13,2,0.154,0,0,0,0,0,0,official-disclosure-only,0,0,2,0,0,,0,0,,0,0,0,,none,,https://www.queensenglishdc.com/ | https://www.queensenglishdc.com/menus | https://order.toasttab.com/online/queen-s-english | https://www.queensenglishdc.com/menu,"Bobo Chicken | baby kale, sesame, tamari brown butter, ginger-scallion (gluten free) | Crab + Cucumber Salad | marinated trout roe, numbing cilantro sauce (pescatarian) | Curry Shrimp Croquettes"
little-blackbird-dc,Little Blackbird,not-found,generic-website,generic-website,29,0,0,0,0,0,0,0,0,source-found-unparsed,0,0,0,0,0,,0,0,,0,0,0,,none,,https://www.littleblackbirddc.com/ | https://www.littleblackbirddc.com/dinnermenu | https://www.littleblackbirddc.com/brunch | https://www.littleblackbirddc.com/menu,"Acorn Fed 100% Spanish Jamon Iberico $401.5 oz Jamon Iberico with Spanish Picos | Burrata & Herb Salad $17 (V) (GF) Pomegranate Dressing, Roast Apple & Asparagus Wine Paring: Tardieu-Laurent ‘Les Becs Fins’ 2024 | Burrata & Herb Salad $17 Pomegranate Dressing, Roast Apple & Asparagus | Pomegranate Dressing, Roast Apple & Asparagus | Chicken Milanese $27 Breaded & Pan Fried Chicken Cutlet with Tomato Caper Vinaigrette, Spinach Wine Pairing: Tenuta Luce ‘Lucente’ 2022"
