restaurantId,name,status,itemCount,menuVerdict,allergenSourceVerdict,extractionVerdict,criticalFindings,highFindings,repairStatus,updatedAt
andpizza-dc,&pizza,codex_verified,50,verified,verified,verified,0,3,verified,2026-07-14T16:46:44.622Z
osm-10-pizza-2622784870,10 Pizza,codex_verified,57,verified,accurately_unavailable,verified,0,3,verified,2026-07-14T16:53:29.166Z
osm-100-bowls-soup-stock-13738956373,100 Bowls Soup & Stock,codex_verified,9,verified,verified,verified,0,2,verified,2026-07-14T17:05:42.927Z
replacement-1310-kitchen-and-bar-washington-dc,1310 Kitchen and Bar,codex_verified,87,verified,verified,verified,0,2,verified,2026-07-14T17:27:33.942Z
restaurant-1789-dc,1789 Restaurant,codex_verified,39,verified,verified,verified,0,3,verified,2026-07-14T17:33:16.605Z
osm-1799-prime-204629784,1799 Prime,codex_verified,53,verified,verified,verified,0,3,verified,2026-07-14T17:42:17.032Z
1799-prime-steak-and-seafood-alexandria-va-dc-metro,1799 Prime Steak & Seafood,codex_verified,53,verified,verified,verified,0,3,verified,2026-07-14T17:46:41.629Z
osm-1983-chinese-cuisine-10746777097,1983 Chinese Cuisine,codex_verified,94,verified,verified,verified,0,2,verified,2026-07-14T18:01:11.560Z
2-amys-washington-dc-dc-metro,2 Amys,codex_verified,130,verified,verified,verified,0,3,verified,2026-07-14T18:08:34.583Z
2941-restaurant-falls-church-va-dc-metro,2941 Restaurant,codex_verified,25,verified,verified,verified,0,2,verified,2026-07-14T18:15:08.691Z
two-fifty-bbq-dc,2Fifty Texas BBQ,codex_verified,62,verified,verified,verified,0,3,verified,2026-07-14T18:28:02.063Z
ninety-second-pizza-georgetown-dc,90 Second Pizza Georgetown,codex_verified,23,verified,verified,verified,0,3,verified,2026-07-14T18:40:21.804Z
replacement-9292-korean-bbq-annandale-va,9292 Korean BBQ,codex_verified,73,verified,accurately_unavailable,verified,0,4,verified,2026-07-14T18:49:30.005Z
osm-a-modo-mio-207944730,A Modo Mio,codex_verified,165,verified,verified,verified,0,3,verified,2026-07-14T19:12:58.628Z
a-litteri-dc,A. Litteri,codex_verified,18,verified,verified,verified,0,4,verified,2026-07-14T19:27:03.539Z
osm-aandj-9382941658,A&J Restaurant,codex_verified,217,verified,verified,verified,0,4,verified,2026-07-14T19:38:12.502Z
osm-aandj-s-northern-chinese-dim-sum-633639009,A&J's Northern Chinese Dim Sum,codex_verified,65,verified,verified,verified,0,4,verified,2026-07-14T19:46:33.407Z
acqua-bistecca-washington-dc-dc-metro,Acqua Bistecca,codex_verified,25,verified,verified,verified,0,4,verified,2026-07-14T19:59:40.045Z
ada-s-on-the-river-alexandria-va-dc-metro,Ada's on the River,codex_verified,49,verified,verified,verified,0,4,verified,2026-07-14T20:13:26.383Z
osm-adyar-ananda-bhavan-638589103,Adyar Ananda Bhavan,codex_verified,167,verified,verified,verified,0,4,verified,2026-07-14T20:27:18.217Z
afghan-bistro-springfield-va-dc-metro,Afghan Bistro,codex_verified,116,verified,verified,verified,0,3,verified,2026-07-14T20:39:09.826Z
osm-afghan-kabob-3359956639,Afghan Kabob Restaurant,codex_verified,12,verified,verified,verified,0,3,verified,2026-07-14T20:46:06.198Z
replacement-afghania-washington-dc,Afghania,codex_verified,152,verified,verified,verified,0,3,verified,2026-07-14T20:56:38.088Z
agora-dc,Agora DC,codex_verified,63,verified,verified,verified,0,3,verified,2026-07-14T21:05:07.079Z
agora-tysons-va,Agora Tysons,codex_verified,54,verified,verified,verified,0,3,verified,2026-07-14T21:10:39.632Z
agua-301-restaurant-washington-dc-dc-metro,Agua 301 Restaurant,codex_verified,195,verified,verified,verified,0,3,verified,2026-07-14T21:21:25.379Z
replacement-ahso-restaurant-brambleton-va,Ahso Restaurant,codex_verified,22,verified,verified,verified,0,3,verified,2026-07-14T21:28:55.753Z
air-restaurant-washington-dc-dc-metro,Air Restaurant,codex_verified,30,verified,verified,verified,0,3,verified,2026-07-14T21:34:06.824Z
osm-akeno-sushi-thai-11475736769,Akeno Sushi Bar & Thai,codex_verified,224,verified,verified,verified,0,3,verified,2026-07-14T21:47:21.494Z
akira-ramen-and-izakaya-rockville-md-dc-metro,Akira Ramen & Izakaya,codex_verified,73,verified,verified,verified,0,3,verified,2026-07-14T21:53:16.507Z
replacement-al-tiramisu-washington-dc,Al Tiramisu,codex_verified,30,verified,verified,verified,0,3,verified,2026-07-14T21:57:51.230Z
ala-bethesda-dc-metro,ala Bethesda,codex_verified,34,verified,verified,verified,0,3,verified,2026-07-14T22:02:26.014Z
alara-georgetown-dc,Alara Georgetown,codex_verified,104,verified,verified,verified,0,3,verified,2026-07-14T22:18:16.093Z
alatri-bros-bethesda-md,Alatri Bros.,codex_verified,66,verified,verified,verified,0,3,verified,2026-07-14T22:30:34.454Z
albi-dc,Albi,codex_verified,29,verified,verified,verified,0,3,verified,2026-07-14T22:46:39.547Z
alero-dupont-dc,Alero Dupont Circle,codex_verified,42,verified,verified,verified,0,3,verified,2026-07-14T23:00:06.040Z
replacement-alhambra-washington-dc,Alhambra,codex_verified,113,verified,verified,verified,0,3,verified,2026-07-14T23:16:29.040Z
all-about-burger-glover-park-dc,All About Burger Glover Park,codex_verified,59,verified,verified,verified,0,3,verified,2026-07-14T23:16:29.349Z
all-set-restaurant-and-bar-silver-spring-md-dc-metro,All Set Restaurant & Bar,codex_verified,101,verified,verified,verified,0,3,verified,2026-07-14T23:38:15.940Z
all-purpose-shaw-dc,All-Purpose Shaw,codex_verified,39,verified,verified,verified,0,3,verified,2026-07-14T23:47:22.017Z
osm-allgorhythms-12234974276,AllGoRhythms,codex_verified,82,verified,verified,verified,0,2,verified,2026-07-14T23:59:50.143Z
osm-allspice-catering-3397462219,AllSpice Cafe & Catering,codex_verified,108,verified,verified,verified,0,2,verified,2026-07-15T00:21:46.557Z
replacement-alta-strada-fairfax-va-fairfax-va,"Alta Strada - Fairfax, VA",codex_verified,29,verified,verified,verified,0,2,verified,2026-07-15T00:33:37.080Z
ama-dc,Ama,codex_verified,36,verified,verified,verified,0,3,verified,2026-07-15T00:49:56.304Z
amazonia-dc,Amazonia,codex_verified,20,verified,verified,verified,0,2,verified,2026-07-15T00:59:07.860Z
ambar-restaurant-capitol-hill-washington-dc-dc-metro,"AMBAR Restaurant, Capitol Hill",codex_verified,39,verified,verified,verified,0,3,verified,2026-07-15T01:24:37.717Z
ambar-restaurant-clarendon-arlington-va-dc-metro,"AMBAR Restaurant, Clarendon",codex_verified,39,verified,verified,verified,0,4,verified,2026-07-15T01:58:34.551Z
replacement-ambassador-restaurant-washington-dc,Ambassador Restaurant,codex_verified,19,verified,accurately_unavailable,verified,0,5,verified,2026-07-15T02:07:21.765Z
replacement-amelie-dc-bistro-and-wine-bar-washington-dc,Amélie DC Bistro & Wine Bar,codex_verified,48,verified,verified,verified,0,5,verified,2026-07-15T02:31:00.000Z
amoo-s-restaurant-mclean-va-dc-metro,Amoo's Restaurant,codex_verified,19,verified,verified,verified,2,4,verified,2026-07-15T02:49:00.000Z
amparo-fondita-dc,Amparo Fondita,codex_verified,6,verified,verified,verified,1,4,verified,2026-07-15T03:02:48.200Z
osm-amphora-diner-deluxe-152763392,Amphora Diner Deluxe,codex_verified,100,verified,verified,verified,2,2,verified,2026-07-15T04:43:53.175Z
amphoras-diner-deluxe-herndon-va-dc-metro,Amphora's Diner Deluxe,codex_verified,101,verified,verified,verified,2,2,verified,2026-07-15T04:57:06.577Z
osm-amuse-3396064825,Amuse,codex_verified,11,verified,accurately_unavailable,verified,1,1,verified,2026-07-15T05:08:45.410Z
anafre-dc,Anafre,codex_verified,47,verified,verified,verified,1,2,verified,2026-07-15T05:21:12.750Z
osm-anatolian-bistro-6230019077,Anatolian Bistro,codex_verified,111,verified,verified,verified,2,3,verified,2026-07-15T05:39:50.102Z
andys-pizza-dc,Andy's Pizza,codex_verified,27,verified,verified,verified,2,2,verified,2026-07-15T05:55:59.353Z
anju-dc,Anju,codex_verified,45,verified,verified,verified,3,2,verified,2026-07-15T06:13:59.382Z
annabelle-dc,Annabelle,codex_verified,26,verified,verified,verified,3,2,verified,2026-07-15T06:22:35.993Z
annie-s-paramount-steak-house-washington-dc-dc-metro,Annie's Paramount Steak House,codex_verified,121,verified,verified,verified,3,2,verified,2026-07-15T06:44:48.699Z
osm-anthony-s-7464874523,Anthony's,codex_verified,184,verified,verified,verified,2,3,verified,2026-07-15T07:04:40.474Z
replacement-antonelli-s-pizza-lorton-va,Antonelli's Pizza,codex_verified,100,verified,verified,verified,2,3,verified,2026-07-15T07:22:32.559Z
ap-pizza-shop-bethesda-dc-metro,AP Pizza Shop Bethesda,codex_verified,47,verified,verified,verified,2,3,verified,2026-07-15T07:39:27.703Z
replacement-apapacho-taqueria-washington-dc,Apapacho Taqueria,codex_verified,51,verified,verified,verified,4,1,verified,2026-07-15T07:58:59.392Z
replacement-apero-washington-dc,Apéro,codex_verified,49,verified,verified,verified,4,1,verified,2026-07-15T08:21:16.953Z
applebees,Applebee's,codex_verified,118,verified,verified,verified,2,3,verified,2026-07-15T08:38:43.887Z
